Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2022;Bali;Kota Denpasar;316.313;303.997
2022;Nusa Tenggara Barat;Kab. Lombok Barat;105.336;23.375
2022;Nusa Tenggara Barat;Kab. Lombok Tengah;153.264;46.092
2022;Nusa Tenggara Barat;Kab. Lombok Timur;196.210;102.591
2022;Nusa Tenggara Barat;Kab. Sumbawa;94.820;48.399
2022;Nusa Tenggara Barat;Kab. Bima;101.102;11.547
2022;Nusa Tenggara Barat;Kab. Lombok Utara;37.446;24.793
2022;Nusa Tenggara Barat;Kota Mataram;96.437;95.242
2022;Nusa Tenggara Barat;Kota Bima;30.189;28.922
2022;Nusa Tenggara Timur;Kab. Manggarai Barat;30.972;7.153
2022;Nusa Tenggara Timur;Kota Kupang;83.193;63.595
2022;Kalimantan Barat;Kab. Sambas;116.112;24.813
2022;Kalimantan Barat;Kab. Mempawah;30.670;9.077
2022;Kalimantan Barat;Kab. Sanggau;89.842;18.291
2022;Kalimantan Barat;Kab. Kapuas Hulu;48.664;9.066
2022;Kalimantan Barat;Kota Pontianak;146.561;142.137
2022;Kalimantan Barat;Kota Singkawang;34.298;31.283
2022;Kalimantan Tengah;Kab. Kapuas;77.236;9.726
2022;Kalimantan Tengah;Kab. Barito Selatan;24.440;3.812
2022;Kalimantan Tengah;Kab. Barito Utara;22.604;10.624
2022;Kalimantan Tengah;Kab. Seruyan;29.999;6.017
2022;Kalimantan Tengah;Kab. Gunung Mas;37.058;6.487
2022;Kalimantan Tengah;Kab. Pulang Pisau;24.946;1.548
2022;Kalimantan Tengah;Kab. Murung Raya;20.340;4.787
2022;Kalimantan Tengah;Kab. Barito Timur;16.798;4.364
2022;Kalimantan Tengah;Kota Palangkaraya;55.448;54.635
2022;Kalimantan Selatan;Kab. Tanah Laut;51.807;17.793
2022;Kalimantan Selatan;Kab. Kotabaru;66.144;18.618
2022;Kalimantan Selatan;Kab. Banjar;149.097;114.636
2022;Kalimantan Selatan;Kab. Barito Kuala;35.180;26.720
2022;Kalimantan Selatan;Kab. Tapin;29.967;21.503
2022;Kalimantan Selatan;Kab. Hulu Sungai Selatan;35.330;26.283
2022;Kalimantan Selatan;Kab. Hulu Sungai Tengah;38.070;29.429
2022;Kalimantan Selatan;Kab. Tabalong;37.508;35.180
2022;Kalimantan Selatan;Kab. Tanah Bumbu;60.743;56.729
2022;Kalimantan Selatan;Kab. Balangan;20.576;18.808
2022;Kalimantan Selatan;Kota Banjarbaru;67.080;67.002
2022;Kalimantan Timur;Kab. Paser;43.301;30.852
2022;Kalimantan Timur;Kab. Kutai Kartanegara;114.525;99.209
2022;Kalimantan Timur;Kab. Berau;49.802;34.673
2022;Kalimantan Timur;Kab. Kutai Barat;25.639;10.483
2022;Kalimantan Timur;Kab. Kutai Timur;77.674;45.693
2022;Kalimantan Timur;Kab. Penajam Paser Utara;35.034;29.321
2022;Kalimantan Timur;Kab. Mahakam Ulu;5.585;1.460
2022;Kalimantan Timur;Kota Balikpapan;187.875;186.186
2022;Kalimantan Timur;Kota Samarinda;214.348;213.831
2022;Kalimantan Timur;Kota Bontang;38.046;37.917
2022;Kalimantan Utara;Kab. Nunukan;15.577;11.729
2022;Kalimantan Utara;Kab. Tana Tidung;5.178;4.103
2022;Sulawesi Utara;Kab. Bolaang Mongondow;45.712;11.266
2022;Sulawesi Utara;Kab. Minahasa;63.633;58.389
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;20.394;12.947
2022;Sulawesi Utara;Kab. Minahasa Selatan;34.524;15.469
2022;Sulawesi Utara;Kab. Minahasa Utara;43.114;27.892
2022;Sulawesi Utara;Kab. Minahasa Tenggara;16.841;9.607
